Wby_Lid,Period,Tjan,Tfeb,Tmar,Tapr,Tmay,Tjun,Tjul,Taug,Tsep,Toct,Tnov,Tdec,Tann,Paug
15-3974-57298,P0,-16.56,-15.28,-6.99,2.96,9.21,15.42,18.57,17.33,12.41,4.17,-3.83,-13.57,2.09,91.64
15-3974-57298,P2,-14.56,-13.28,-4.99,4.96,11.21,17.42,20.57,19.33,14.41,6.17,-1.83,-11.57,4.09,91.64
15-5463-55189,P0,-15.64,-14.35,-6.16,3.51,9.86,16.12,19.04,17.79,13.07,4.57,-3.01,-12.64,2.78,77.78
15-5463-55189,P2,-13.64,-12.35,-4.16,5.51,11.86,18.12,21.04,19.79,15.07,6.57,-1.01,-10.64,4.78,77.78
17-6744-49500,P0,-8.5,-7.91,-2.35,5.76,11.74,17.39,19.73,19.14,15.18,8.15,2.46,-4.59,6.45,75.18
17-6744-49500,P2,-6.5,-5.91,-0.35,7.76,13.74,19.39,21.73,21.14,17.18,10.15,4.46,-2.59,8.45,75.18
17-7257-48946,P0,-6.79,-6.17,-1.05,6.35,11.8,17.44,19.85,19.53,15.59,8.56,3.26,-3.38,7.18,63.12
17-7257-48946,P2,-4.79,-4.17,0.95,8.35,13.8,19.44,21.85,21.53,17.59,10.56,5.26,-1.38,9.18,63.12
18-4196-49317,P0,-7.43,-6.61,-0.93,7.05,13.07,18.39,21.03,20.66,16.65,9.26,4.03,-3.41,7.75,75.21
18-4196-49317,P2,-5.43,-4.61,1.07,9.05,15.07,20.39,23.03,22.66,18.65,11.26,6.03,-1.41,9.75,75.21
